site_id,total_forecast_m3,total_actual_m3,ratio,flag
38127984,3.2755102040816424,0.5,6.551020408163285,EXTREME_HIGH
38127990,9.171428571428548,1.5,6.114285714285699,EXTREME_HIGH
38128002,9.464285714285715,0.75,12.61904761904762,EXTREME_HIGH
38128011,22.928571428571487,0.75,30.57142857142865,EXTREME_HIGH
38128024,9.75906593406594,0.75,13.012087912087921,EXTREME_HIGH
38128027,10.734782608695614,0.75,14.313043478260818,EXTREME_HIGH
38128032,10.878571428571398,0.75,14.504761904761864,EXTREME_HIGH
38128046,10.624236058059614,0.75,14.165648077412818,EXTREME_HIGH
38128054,10.07657142857143,0.75,13.435428571428574,EXTREME_HIGH
38128077,8.929310344827613,0.75,11.905747126436816,EXTREME_HIGH
38128089,10.080428571428572,0.75,13.44057142857143,EXTREME_HIGH
38128095,11.464285714285744,0.75,15.285714285714326,EXTREME_HIGH
38128139,22.928571428571487,0.75,30.57142857142865,EXTREME_HIGH
38128142,138.5910374149661,9.9,13.999094688380415,EXTREME_HIGH
38128146,13.757142857142895,1.5,9.171428571428597,EXTREME_HIGH
38128151,51.75352214749552,1.5,34.502348098330344,EXTREME_HIGH
38128169,17.65816326530609,0.75,23.544217687074788,EXTREME_HIGH
38128175,24.589285714285747,0.75,32.78571428571433,EXTREME_HIGH
38100881,91.71428571428595,7.5,12.22857142857146,EXTREME_HIGH
38109707,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38114326,34.39285714285706,6.75,5.095238095238083,EXTREME_HIGH
38114337,258.0825892857141,36.0,7.168960813492059,EXTREME_HIGH
38118853,23.25,2.25,10.333333333333334,EXTREME_HIGH
38119225,244.57142857142802,16.0,15.285714285714251,EXTREME_HIGH
38121345,68.78571428571412,12.0,5.732142857142843,EXTREME_HIGH
38121356,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38121851,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38121852,45.857142857142975,6.0,7.642857142857163,EXTREME_HIGH
38121905,23.09999999999996,4.5,5.133333333333324,EXTREME_HIGH
38121909,114.64285714285764,18.75,6.1142857142857405,EXTREME_HIGH
38122051,22.928571428571487,3.75,6.11428571428573,EXTREME_HIGH
38122076,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38122364,46.0,7.5,6.133333333333334,EXTREME_HIGH
38126515,670.2949735449739,56.0,11.969553099017391,EXTREME_HIGH
38127238,23.25,2.25,10.333333333333334,EXTREME_HIGH
38127454,22.928571428571487,1.5,15.285714285714326,EXTREME_HIGH
38120513,38.541460213893146,6.75,5.709845957613799,EXTREME_HIGH
38120837,17.19642857142853,2.25,7.642857142857125,EXTREME_HIGH
38120903,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38105517,38.21428571428566,5.25,7.278911564625839,EXTREME_HIGH
38107270,45.857142857142975,6.0,7.642857142857163,EXTREME_HIGH
