date,district,actual_m3
2024-01-11,Левый берег,317.045681
2024-01-11,МО Саянск,22.950347
2024-01-11,Нукутский район,2.449290
2024-01-11,Осинский район,6.949332
2024-01-11,Правый берег,270.509736
2024-01-11,Слюдянский район,23.792666
2024-01-11,Тулунский район,35.438822
2024-01-11,Усольский район,62.755761
2024-01-11,Усть-Удинский район,2.829408
2024-01-11,Черемховский район,44.236909
2024-01-11,Шелеховский район,43.494464
2024-01-11,Эхирит-Булагатский район,13.192673
2024-01-12,Аларский район,2.941631
2024-01-12,Ангарский ГО,199.531272
2024-01-12,Баяндаевский район,10.299274
2024-01-12,Бодайбинский район,7.672701
2024-01-12,Боханский район,3.864698
2024-01-12,Жигаловский район,5.816483
2024-01-12,Заларинский район,5.964180
2024-01-12,Зиминский район,17.232443
2024-01-12,Иркутский район,161.978123
2024-01-12,Казачинско-Ленский район,8.413110
2024-01-12,Качугский район,4.861325
2024-01-12,Куйтунский район,3.538703
2024-01-12,Левый берег,313.562617
2024-01-12,МО Саянск,28.946702
2024-01-12,Нукутский район,6.531511
2024-01-12,Осинский район,7.033344
2024-01-12,Правый берег,283.170775
2024-01-12,Слюдянский район,29.480019
2024-01-12,Тулунский район,36.849237
2024-01-12,Усольский район,96.340248
2024-01-12,Усть-Удинский район,2.206959
2024-01-12,Черемховский район,53.455009
2024-01-12,Шелеховский район,54.690050
2024-01-12,Эхирит-Булагатский район,16.126855
2024-01-13,Аларский район,6.151617
2024-01-13,Ангарский ГО,92.857072
2024-01-13,Баяндаевский район,9.857966
2024-01-13,Бодайбинский район,8.235145
2024-01-13,Боханский район,3.708802
2024-01-13,Заларинский район,3.542680
2024-01-13,Зиминский район,28.975857
2024-01-13,Иркутский район,115.146866
2024-01-13,Казачинско-Ленский район,9.446263
2024-01-13,Куйтунский район,5.660064
2024-01-13,Левый берег,285.971723
2024-01-13,МО Саянск,22.552601
2024-01-13,Ольхонский район,9.290989
2024-01-13,Осинский район,4.229257
2024-01-13,Правый берег,244.021314
2024-01-13,Слюдянский район,21.524465
2024-01-13,Тулунский район,32.392599
2024-01-13,Усольский район,68.630249
2024-01-13,Усть-Удинский район,2.176599
2024-01-13,Черемховский район,32.985571
2024-01-13,Шелеховский район,41.127071
2024-01-13,Эхирит-Булагатский район,11.696545
2024-01-14,Аларский район,10.506988
2024-01-14,Ангарский ГО,104.642379
2024-01-14,Балаганский район,3.043603
2024-01-14,Бодайбинский район,9.711901
2024-01-14,Боханский район,9.756964
2024-01-14,Заларинский район,1.338902
2024-01-14,Зиминский район,24.089703
2024-01-14,Иркутский район,145.750793
2024-01-14,Казачинско-Ленский район,9.094278
2024-01-14,Качугский район,5.147141
2024-01-14,Куйтунский район,10.308570
2024-01-14,Левый берег,289.864938
2024-01-14,МО Саянск,22.396281
2024-01-14,Ольхонский район,2.857974
2024-01-14,Осинский район,4.117910
2024-01-14,Правый берег,243.178703
2024-01-14,Слюдянский район,23.390549
2024-01-14,Тулунский район,32.232840
2024-01-14,Усольский район,71.982633
2024-01-14,Черемховский район,32.976516
2024-01-14,Шелеховский район,50.093445
2024-01-14,Эхирит-Булагатский район,7.235966
2024-01-15,Аларский район,10.117131
2024-01-15,Ангарский ГО,182.573403
2024-01-15,Балаганский район,3.203086
2024-01-15,Баяндаевский район,13.215137
2024-01-15,Бодайбинский район,10.684456
2024-01-15,Боханский район,4.576486
2024-01-15,Жигаловский район,7.125971
2024-01-15,Заларинский район,6.761783
2024-01-15,Зиминский район,34.182746
2024-01-15,Иркутский район,172.574869
2024-01-15,Казачинско-Ленский район,8.644826
2024-01-15,Качугский район,7.699689
2024-01-15,Куйтунский район,3.835823
2024-01-15,Левый берег,344.608895
2024-01-15,МО Саянск,29.083357
2024-01-15,Нукутский район,3.189290
2024-01-15,Ольхонский район,2.650037
2024-01-15,Осинский район,7.662034
2024-01-15,Правый берег,298.260784
2024-01-15,Слюдянский район,34.464492
2024-01-15,Тулунский район,44.489454
2024-01-15,Усольский район,89.109079
2024-01-15,Усть-Удинский район,4.001569
2024-01-15,Черемховский район,41.893853
2024-01-15,Шелеховский район,52.799229
2024-01-15,Эхирит-Булагатский район,13.769898
2024-01-16,Аларский район,11.013039
2024-01-16,Ангарский ГО,170.996715
2024-01-16,Баяндаевский район,11.798570
2024-01-16,Бодайбинский район,9.117057
2024-01-16,Боханский район,4.692748
2024-01-16,Жигаловский район,5.722616
2024-01-16,Заларинский район,8.146385
2024-01-16,Зиминский район,27.514286
2024-01-16,Иркутский район,143.332553
2024-01-16,Казачинско-Ленский район,11.185233
2024-01-16,Качугский район,3.742624
2024-01-16,Куйтунский район,4.784012
2024-01-16,Левый берег,321.116203
2024-01-16,МО Саянск,22.099941
2024-01-16,Нукутский район,3.896354
2024-01-16,Ольхонский район,9.569812
2024-01-16,Осинский район,5.776864
2024-01-16,Правый берег,269.853731
2024-01-16,Слюдянский район,21.991721
2024-01-16,Тулунский район,44.047213
2024-01-16,Усольский район,77.604153
2024-01-16,Черемховский район,32.781055
2024-01-16,Шелеховский район,44.451663
2024-01-16,Эхирит-Булагатский район,14.793971
2024-01-17,Аларский район,7.157640
2024-01-17,Ангарский ГО,152.142310
2024-01-17,Баяндаевский район,13.569860
2024-01-17,Бодайбинский район,7.863012
2024-01-17,Боханский район,3.159350
2024-01-17,Жигаловский район,5.293382
2024-01-17,Заларинский район,10.918767
2024-01-17,Зиминский район,26.551923
2024-01-17,Иркутский район,143.185937
2024-01-17,Казачинско-Ленский район,11.194425
2024-01-17,Качугский район,5.824245
2024-01-17,Куйтунский район,2.884723
2024-01-17,Левый берег,332.980596
2024-01-17,МО Саянск,24.120911
2024-01-17,Нукутский район,5.038124
2024-01-17,Ольхонский район,3.125329
2024-01-17,Осинский район,8.254183
2024-01-17,Правый берег,281.025530
2024-01-17,Слюдянский район,25.096563
2024-01-17,Тулунский район,41.115179
2024-01-17,Усольский район,72.868551
2024-01-17,Усть-Удинский район,3.582661
2024-01-17,Черемховский район,57.499637
2024-01-17,Шелеховский район,50.041198
2024-01-17,Эхирит-Булагатский район,18.392185
2024-01-18,Аларский район,7.377918
2024-01-18,Ангарский ГО,158.510556
2024-01-18,Баяндаевский район,14.095721
2024-01-18,Бодайбинский район,9.306307
2024-01-18,Боханский район,2.156053
2024-01-18,Жигаловский район,4.466088
2024-01-18,Заларинский район,10.507055
2024-01-18,Зиминский район,31.531657
2024-01-18,Иркутский район,119.219496
2024-01-18,Казачинско-Ленский район,6.819433
2024-01-18,Куйтунский район,5.908083
2024-01-18,Левый берег,311.139364
2024-01-18,МО Саянск,23.131197
2024-01-18,Нукутский район,3.086163
2024-01-18,Ольхонский район,2.201627
2024-01-18,Осинский район,6.751738
2024-01-18,Правый берег,264.799379
2024-01-18,Слюдянский район,25.653665
2024-01-18,Тулунский район,36.981270
