year_month,district,actual_m3
2024-09,Усть-Удинский район,99.684428
2024-09,Черемховский район,1566.320567
2024-09,Шелеховский район,1965.424779
2024-09,Эхирит-Булагатский район,495.542693
2024-10,Аларский район,354.022260
2024-10,Ангарский ГО,5156.962492
2024-10,Балаганский район,74.247709
2024-10,Баяндаевский район,261.046383
2024-10,Бодайбинский район,287.382291
2024-10,Боханский район,225.841147
2024-10,Жигаловский район,143.488351
2024-10,Заларинский район,324.814564
2024-10,Зиминский район,1173.061035
2024-10,Иркутский район,5988.643953
2024-10,Казачинско-Ленский район,389.515499
2024-10,Качугский район,152.436796
2024-10,Куйтунский район,290.572502
2024-10,Левый берег,11140.919869
2024-10,МО Саянск,867.950414
2024-10,Нукутский район,148.899831
2024-10,Ольхонский район,211.459015
2024-10,Осинский район,318.279127
2024-10,Правый берег,8859.594461
2024-10,Слюдянский район,935.176860
2024-10,Тулунский район,1618.499437
2024-10,Усольский район,3354.026171
2024-10,Усть-Удинский район,97.246863
2024-10,Черемховский район,1677.491619
2024-10,Шелеховский район,1915.269227
2024-10,Эхирит-Булагатский район,489.319634
2024-11,Аларский район,324.323281
2024-11,Ангарский ГО,4833.489905
2024-11,Балаганский район,72.951896
2024-11,Баяндаевский район,176.564740
2024-11,Бодайбинский район,275.299711
2024-11,Боханский район,175.944946
2024-11,Жигаловский район,118.885301
2024-11,Заларинский район,282.337828
2024-11,Зиминский район,1125.801723
2024-11,Иркутский район,5231.395528
2024-11,Казачинско-Ленский район,322.900238
2024-11,Качугский район,128.144635
2024-11,Куйтунский район,241.338710
2024-11,Левый берег,10597.806504
2024-11,МО Саянск,831.928065
2024-11,Нукутский район,154.844615
2024-11,Ольхонский район,161.781553
2024-11,Осинский район,276.648907
2024-11,Правый берег,8528.936495
2024-11,Слюдянский район,790.244192
2024-11,Тулунский район,1355.643176
2024-11,Усольский район,2732.391077
2024-11,Усть-Удинский район,87.203214
2024-11,Черемховский район,1428.692455
2024-11,Шелеховский район,1750.683133
2024-11,Эхирит-Булагатский район,413.819559
2024-12,Аларский район,347.755873
2024-12,Ангарский ГО,5148.824028
2024-12,Балаганский район,75.600439
2024-12,Баяндаевский район,138.963263
2024-12,Бодайбинский район,292.799080
2024-12,Боханский район,181.979870
2024-12,Жигаловский район,129.365890
2024-12,Заларинский район,298.087772
2024-12,Зиминский район,1180.008248
2024-12,Иркутский район,5208.316748
2024-12,Казачинско-Ленский район,344.187148
2024-12,Качугский район,105.836945
2024-12,Куйтунский район,220.120552
2024-12,Левый берег,11195.602339
2024-12,МО Саянск,872.579291
2024-12,Нукутский район,158.047893
2024-12,Ольхонский район,158.600998
2024-12,Осинский район,271.134397
2024-12,Правый берег,9098.396222
2024-12,Слюдянский район,836.266918
2024-12,Тулунский район,1398.607173
2024-12,Усольский район,2771.189354
2024-12,Усть-Удинский район,90.424897
2024-12,Черемховский район,1493.199790
2024-12,Шелеховский район,1717.524022
2024-12,Эхирит-Булагатский район,348.786642
