site_id,WAPE,MAE,days,forecast_total,district
38107422,0.0626623434343434,0.020273111111111103,153.0,50.625,Ангарский ГО
38122425,0.06428779047619052,0.006650461083743859,145.0,17.403061000000008,Левый берег
38126330,0.06501624242424225,0.0071517866666666605,150.0,17.866071000000026,Ангарский ГО
38111175,0.06666666666666667,0.042483660130718956,153.0,99.1875,Куйтунский район
38113009,0.06802892970521543,0.014191465468306555,151.0,26.280611999999987,Слюдянский район
38124827,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124837,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124838,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124844,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124845,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124846,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124826,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124848,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124849,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124850,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124851,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124854,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124853,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38115297,0.06832494409937834,0.007857368571428524,150.0,20.123723999999974,Левый берег
38125752,0.07258812121212126,0.015656261437908506,153.0,33.84375,Ангарский ГО
38124756,0.07258815151515156,0.03131253594771244,153.0,67.6875,Ангарский ГО
38115192,0.07483208163265287,0.007857368571428564,150.0,20.123723999999974,Заларинский район
38125849,0.07848840310077519,0.01665296710526316,152.0,34.359375,Ангарский ГО
38125578,0.07848840310077519,0.01665296710526316,152.0,34.359375,Ангарский ГО
38125582,0.07848840310077519,0.01665296710526316,152.0,34.359375,Ангарский ГО
38122373,0.08163448072562336,0.017258296260786173,149.0,36.32142900000006,Заларинский район
38122374,0.08163481179138302,0.008629183125599226,149.0,18.16071400000003,Заларинский район
38125791,0.08333333333333333,0.01715686274509804,153.0,29.61543400000001,Ангарский ГО
38125489,0.08333333333333333,0.01715686274509804,153.0,33.84375,Ангарский ГО
38117974,0.08441689177489194,0.028044537871524496,149.0,54.48214299999998,Черемховский район
38100001,0.08638934169279013,0.054391184210526265,152.0,87.93888899999996,Иркутский район
38105093,0.09137795348837191,0.019261039215686265,153.0,36.095662999999945,Левый берег
38125911,0.09405569696969676,0.020286522875816948,153.0,33.84375,Ангарский ГО
38126227,0.09415737662337637,0.010221031015037584,152.0,17.276786000000016,Ангарский ГО
38100003,0.09533898305084745,0.196875,150.0,321.914062,Иркутский район
38125562,0.0956439696969697,0.020764809210526317,152.0,32.21364800000005,Ангарский ГО
38125565,0.0956439696969697,0.020764809210526317,152.0,34.359375,Ангарский ГО
38115187,0.09634720265780693,0.02071464857142852,150.0,35.73214300000005,Заларинский район
38121673,0.09698120789779302,0.020014578139980803,149.0,38.62117299999995,Тулунский район
38116800,0.09848609523809489,0.010906178331735359,149.0,13.06122399999999,Левый берег
38125447,0.09943184848484848,0.021587177631578948,152.0,34.53125,Ангарский ГО
38125520,0.09943184848484848,0.021587177631578948,152.0,34.46785700000004,Ангарский ГО
38125521,0.09943184848484848,0.021587177631578948,152.0,34.46785700000004,Ангарский ГО
38125453,0.09943184848484848,0.021587177631578948,152.0,34.53125,Ангарский ГО
38125524,0.09943184848484848,0.021587177631578948,152.0,34.46785700000004,Ангарский ГО
38125792,0.10174418604651163,0.02144607843137255,153.0,31.729592000000043,Ангарский ГО
38122588,0.10204276643990857,0.010714490476190415,150.0,17.866071000000026,Тулунский район
38109574,0.10206981818181772,0.011227679999999967,150.0,17.866071000000026,Усольский район
38100083,0.10239573913043501,0.01602110204081633,147.0,24.42244899999996,Иркутский район
38118964,0.1036641818181817,0.011327543046357622,151.0,17.57142900000002,Черемховский район
38122309,0.10389770562770512,0.011428747619047582,150.0,13.394387999999978,
38115715,0.10389809523809498,0.011278411654135324,152.0,17.276786000000016,Ангарский ГО
38125850,0.10416669841269842,0.021587177631578948,152.0,29.731185999999987,Ангарский ГО
38100033,0.10714388744588749,0.03535748285714284,150.0,53.59821399999998,Иркутский район
38126442,0.1073290540340488,0.034524179047619015,150.0,53.59821399999998,Черемховский район
38100007,0.10867548902195609,0.09074403333333333,150.0,121.49888400000005,Иркутский район
38125488,0.10975609756097561,0.022058823529411766,153.0,33.84375,Ангарский ГО
38128206,0.11039161038961044,0.01206265941343427,151.0,17.57142900000002,Заларинский район
38125749,0.11108539393939401,0.023959594771241845,153.0,33.84375,Ангарский ГО
38124668,0.11108539393939401,0.023959594771241845,153.0,33.84375,Ангарский ГО
38104629,0.11118114285714287,0.0364813125,16.0,50.625,Левый берег
38125563,0.11157413333333333,0.02477386184210526,152.0,36.61607100000003,Ангарский ГО
