site_id,avg_forecast_m3,avg_actual_m3,forecast_days,actual_days,ratio
38105753,951.6230733570685,6.669543147208114,214,197,142.68189774818686
38100048,1402.6487678015135,9.835308056872037,214,211,142.613608001985
38105770,884.7552767115412,6.204276315789474,214,152,142.6041058906254
38111522,328.144845905652,2.30609756097561,214,205,142.2944334440162
38103698,526.6075600801072,3.73938679245283,214,212,140.827250377777
38111534,322.92262368342966,2.2931472081218276,214,197,140.82071248618846
38115789,349.79999374165567,2.484375,214,176,140.799997480918
38113598,552.0988642263761,3.9229665071770334,214,209,140.7350440581932
38108854,345.65871856920387,2.4578199052132708,214,211,140.63630855785192
38120819,571.2272335336004,4.0725,214,200,140.26451406595467
38114150,695.3204759123277,4.960869565217392,214,207,140.16100741440434
38122003,801.1186915887857,5.719999999999995,214,205,140.05571531272489
38119599,991.094131990803,7.079146919431282,214,211,140.00191594701704
