site_id,date,forecast_m3
38117721,2025-12-01,6575.357142857136
38113590,2025-12-27,6572.470238095254
38117721,2025-11-30,6553.833333333327
38113244,2025-12-12,6545.444444444438
38109910,2025-10-16,6542.013605442173
38113590,2025-12-26,6539.867063492079
38101499,2025-12-28,6539.132142857147
38110990,2025-12-17,6536.787499999997
38117721,2025-11-29,6526.619047619041
38113244,2025-12-11,6513.694444444438
38113590,2025-12-25,6506.013888888904
38101499,2025-12-27,6502.178571428576
38110990,2025-12-16,6501.14464285714
38109910,2025-10-15,6489.435289115642
38113244,2025-12-10,6478.194444444438
38117721,2025-11-28,6477.5396825396765
38113590,2025-12-24,6473.285714285729
38110990,2025-12-15,6473.064285714283
38101499,2025-12-26,6470.308730158735
38109910,2025-10-14,6464.249829931969
38113244,2025-12-09,6448.249999999994
